time,Det_Voltage,TOFHGMAX,TOFHGMIN,TOFLGMAX,TOFLGMIN,TOFMGMAX,TOFMGMIN,Target_High_Gain_Max,Target_High_Gain_Min,Target_Low_Gain_Max,Target_Low_Gain_Min
2025-343T01:35:43.927,,418.0,73.0,858.0,602.0,478.0,272.0,2047.0,2040.0,2066.0,2061.0
2025-343T01:35:49.927,,418.0,73.0,858.0,602.0,478.0,272.0,2047.0,2040.0,2066.0,2061.0
2025-343T01:35:55.927,,418.0,73.0,858.0,602.0,478.0,272.0,2050.0,2035.0,2066.0,2060.0
2025-343T01:36:01.927,,418.0,73.0,858.0,602.0,478.0,272.0,2047.0,2040.0,2066.0,2061.0
2025-343T01:36:05.927,0.0,,,,,,,,,,
2025-343T01:36:07.927,,418.0,73.0,858.0,602.0,478.0,272.0,2047.0,2040.0,2066.0,2061.0
2025-343T01:36:13.927,,418.0,73.0,858.0,602.0,478.0,272.0,2047.0,2040.0,2066.0,2060.0
2025-343T01:36:19.927,,418.0,73.0,858.0,602.0,478.0,272.0,2047.0,2040.0,2066.0,2061.0
2025-343T01:36:25.927,,418.0,73.0,858.0,602.0,478.0,272.0,2047.0,2040.0,2066.0,2061.0
2025-343T01:36:31.927,,418.0,73.0,858.0,602.0,478.0,272.0,2047.0,2040.0,2066.0,2060.0
2025-343T01:36:32.927,0.0,,,,,,,,,,
2025-343T01:36:37.927,,418.0,73.0,858.0,602.0,478.0,272.0,2048.0,2040.0,2066.0,2061.0
2025-343T01:36:43.927,,418.0,73.0,858.0,602.0,478.0,272.0,2047.0,2040.0,2066.0,2061.0
2025-343T01:36:49.927,,418.0,73.0,858.0,602.0,478.0,272.0,2047.0,2040.0,2066.0,2061.0
2025-343T01:36:55.927,,418.0,73.0,858.0,602.0,478.0,272.0,2047.0,2040.0,2066.0,2061.0
2025-343T01:36:58.927,0.0,,,,,,,,,,
2025-343T01:37:01.927,,418.0,73.0,858.0,602.0,478.0,272.0,2047.0,2040.0,2066.0,2061.0
2025-343T01:37:07.927,,418.0,73.0,858.0,602.0,478.0,272.0,2047.0,2040.0,2066.0,2061.0
2025-343T01:37:13.927,,418.0,73.0,858.0,602.0,478.0,272.0,2047.0,2040.0,2066.0,2060.0
