Dust Event ID,UTC Timestamp,Local Timestamp,Integer Timestamp (ms),Velocity (m/s),Mass (kg),Charge (C),Radius (m) ,High Voltage (MV),Current Group ID,Current Experiment Name,Current Experiment Description,Estimate Quality,Dust Type
8543996,20231213194528.782000000,20231213124528.782000000,1702496728782,4.730370E+3,8.023831E-17,4.083730E-16,1.344929E-7,2.198294E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8544000,20231213194544.416999999,20231213124544.416999999,1702496744417,2.139500E+3,4.633748E-17,4.829790E-17,1.119995E-7,2.195833E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",4," Iron "
8544007,20231213194558.574000000,20231213124558.574000000,1702496758574,2.739430E+3,2.485256E-16,4.246810E-16,1.960480E-7,2.195833E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8544011,20231213194629.165000000,20231213124629.165000000,1702496789165,2.590930E+3,1.623846E-16,2.479370E-16,1.701193E-7,2.198294E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",4," Iron "
8544012,20231213194629.962000000,20231213124629.962000000,1702496789962,3.513480E+3,2.203589E-16,6.187150E-16,1.883427E-7,2.198294E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8544016,20231213194637.689999999,20231213124637.689999999,1702496797690,3.292970E+3,2.470313E-16,6.096150E-16,1.956543E-7,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",3," Iron "
8544019,20231213194642.800999999,20231213124642.800999999,1702496802801,8.916780E+3,2.337536E-17,4.232000E-16,8.915754E-8,2.195833E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8544024,20231213194709.740999999,20231213124709.740999999,1702496829741,3.211570E+3,5.357375E-16,1.257520E-15,2.532538E-7,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8544029,20231213194803.799000000,20231213124803.799000000,1702496883799,9.571550E+3,3.338142E-17,6.959810E-16,1.004015E-7,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8544040,20231213194841.935000000,20231213124841.935000000,1702496921935,2.090500E+3,3.771810E-16,3.753370E-16,2.252969E-7,2.195833E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8544041,20231213194842.081000000,20231213124842.081000000,1702496922081,2.256430E+3,8.395412E-14,9.733230E-14,1.365377E-6,2.195833E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8544042,20231213194842.297999999,20231213124842.297999999,1702496922298,4.538440E+3,4.381184E-17,2.053680E-16,1.099265E-7,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8544053,20231213194903.462999999,20231213124903.462999999,1702496943463,2.697730E+3,1.284024E-16,2.126660E-16,1.573124E-7,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
