,Time [us],Combined TOF [pC/dt]
4456,1.5346153846153836,9.655688123335845e-05
4457,1.5384615384615383,5.067726648175187e-05
4458,1.542307692307693,-5.149629843777693e-06
4459,1.5461538461538478,-8.085641429919697e-05
4460,1.549999999999999,-0.00010691409419558997
4461,1.5538461538461537,-8.332257759155926e-05
4462,1.5576923076923084,-2.0014473292079196e-05
4463,1.561538461538463,1.3481409167534139e-05
4464,1.5653846153846143,1.7165159520473412e-05
4465,1.569230769230769,1.090226678318552e-05
4466,1.5730769230769237,4.4356319257271614e-05
4467,1.5769230769230784,5.793120454290518e-05
4468,1.5807692307692296,5.162700953436532e-05
4469,1.5846153846153843,1.5511120440564376e-05
4470,1.588461538461539,1.9112522783571156e-05
4471,1.5923076923076938,3.2633201407470573e-05
4472,1.596153846153845,1.6342440485073466e-05
4473,1.5999999999999996,1.9903823524550137e-05
4474,1.6038461538461544,6.318283337495493e-05
4475,1.607692307692309,0.00011638145223676023
4476,1.6115384615384603,0.00011990356166013938
4477,1.615384615384615,0.00010354734256241426
4478,1.6192307692307697,0.00013684177522419057
4479,1.6230769230769244,0.00014032533930058715
4480,1.6269230769230791,0.00011399811382532886
4481,1.6307692307692303,8.765827722074658e-05
4482,1.634615384615385,9.110400729679322e-05
4483,1.6384615384615397,9.453728126288473e-05
4484,1.6423076923076945,6.816007573466187e-05
4485,1.6461538461538456,5.170326672996402e-05
4486,1.6500000000000004,5.436129688202607e-06
4487,1.653846153846155,-3.091046053571838e-05
4488,1.6576923076923098,-7.720182965710934e-05
4489,1.661538461538461,-7.384170396469063e-05
4490,1.6653846153846157,-9.646103036240437e-07
4491,1.6692307692307704,3.2169823915470215e-05
4492,1.6730769230769251,6.529247073617248e-05
4493,1.6769230769230763,5.867260165005536e-05
4494,1.680769230769231,5.204108760948679e-05
4495,1.6846153846153857,4.539799902989069e-05
4496,1.6884615384615405,6.854150579108835e-05
4497,1.6923076923076916,0.00010160627725166451
4498,1.6961538461538463,9.492888224365116e-05
4499,1.700000000000001,6.837478908579666e-05
4500,1.7038461538461558,4.180946558100568e-05
4501,1.707692307692307,-4.63242097149103e-06
4502,1.7115384615384617,-4.115270377875492e-05
4503,1.7153846153846164,-4.788591654393917e-05
4504,1.7192307692307711,-4.966593461693761e-06
4505,1.7230769230769223,3.794183078096973e-05
4506,1.726923076923077,5.10413210164653e-05
4507,1.7307692307692317,3.4331941593881065e-05
4508,1.7346153846153864,1.76118563897207e-05
4509,1.7384615384615376,3.0679228808667795e-05
4510,1.7423076923076923,4.373602178795377e-05
4511,1.746153846153847,2.6984197806050264e-05
4512,1.7500000000000018,5.988541887718248e-05
4513,1.753846153846153,0.00014243974656788917
4514,1.7576923076923077,0.0002349164419905886
4515,1.7615384615384624,0.00029758476581470553
4516,1.765384615384617,0.00035031017826721864
4517,1.7692307692307683,0.00043282353913668466
4518,1.773076923076923,0.0005153268077806553
4519,1.7769230769230777,0.0005878873431244248
4520,1.7807692307692324,0.0009982048007642662
4521,1.7846153846153836,0.0012936318259044789
4522,1.7884615384615383,0.001290990587923845
4523,1.792307692307693,0.0009571723615839239
4524,1.7961538461538478,0.0006563764206303675
4525,1.799999999999999,0.00042171203778967295
4526,1.8038461538461537,0.00028628848477796364
4527,1.8076923076923084,0.00018388803230769027
4528,1.811538461538463,0.0002138379500904123
4529,1.8153846153846143,0.00027681150684357456
4530,1.819230769230769,0.00027348197029241034
4531,1.8230769230769237,0.0003362856071790223
4532,1.8269230769230784,0.00039900468326830555
4533,1.8307692307692296,0.00036231246334474674
4534,1.8346153846153843,0.0002593182112289208
4535,1.838461538461539,0.00018934918977172492
4536,1.8423076923076938,0.0002517326608698798
4537,1.846153846153845,0.0001484878854586518
4538,1.8499999999999996,-2.1057876471104568e-05
4539,1.8538461538461544,-0.00015757736587721665
4540,1.857692307692309,-0.0001286343246572211
4541,1.8615384615384603,-6.666449564534239e-05
4542,1.865384615384615,-3.7885622605322855e-05
4543,1.8692307692307697,-4.229745022747396e-05
4544,1.8730769230769244,-0.0001792267241263535
4545,1.8769230769230791,-0.00031623719083143293
4546,1.8807692307692303,-0.00038711059778653053
4547,1.884615384615385,-0.00035873769334128155
4548,1.8884615384615397,-0.0002311182267514711
4549,1.8923076923076945,-0.00023601494817135425
4550,1.8961538461538456,-0.0003403186086508598
4551,1.9000000000000004,-0.00034537496012877603
4552,1.903846153846155,-0.0003505107554308694
4553,1.9076923076923098,-0.00042194374826467476
4554,1.911538461538461,-0.0004934556932160361
4555,1.9153846153846157,-0.000465719345740947
4556,1.9192307692307704,-0.00040495246216979645
4557,1.9230769230769251,-0.00037737279969324755
4558,1.9269230769230763,-0.000482307116363423
4559,1.930769230769231,-0.0005542101710911585
4560,1.9346153846153857,-0.0005930817236375314
4561,1.9384615384615405,-0.0006651395346127224
4562,1.9423076923076916,-0.0007041653654712251
4563,1.9461538461538463,-0.0006439409785085093
4564,1.950000000000001,-0.0005175751368542245
4565,1.9538461538461558,-0.0003912856044732704
4566,1.957692307692307,-0.0003312901461560661
4567,1.9615384615384617,-0.0003375885275204312
4568,1.9653846153846164,-0.00031085351500268247
