,Time,TOF H,TOF M,TOF L
1626,-9.350000000000001,0.031808565310492504,0.016984917,0.264196
1627,-9.346153846153847,0.03187044967880086,0.017018026,0.26471
1628,-9.342307692307692,0.03149914346895075,0.016951808,0.263682
1629,-9.338461538461539,0.0315610278372591,0.016918699,0.26471
1630,-9.334615384615386,0.031932334047109205,0.017018026,0.263168
1631,-9.330769230769231,0.0316847965738758,0.016984917,0.264196
1632,-9.326923076923077,0.0314372591006424,0.016951808,0.262654
1633,-9.323076923076922,0.0314372591006424,0.016918699,0.265224
1634,-9.319230769230769,0.03199421841541756,0.017018026,0.262654
1635,-9.315384615384616,0.0316847965738758,0.016984917,0.264196
1636,-9.311538461538461,0.03131349036402569,0.016951808,0.263168
1637,-9.307692307692307,0.0316847965738758,0.016984917,0.26471
1638,-9.303846153846154,0.0316847965738758,0.017018026,0.263168
1639,-9.3,0.03149914346895075,0.016984917,0.263168
1640,-9.296153846153846,0.031375374732334045,0.016918699,0.264196
1641,-9.292307692307691,0.03162291220556745,0.017018026,0.263168
1642,-9.288461538461538,0.031746680942184156,0.016984917,0.26471
1643,-9.284615384615385,0.0315610278372591,0.016951808,0.262654
1644,-9.28076923076923,0.03149914346895075,0.016984917,0.263682
1645,-9.276923076923076,0.0316847965738758,0.016984917,0.26214000000000004
1646,-9.273076923076923,0.03187044967880086,0.016984917,0.26471
1647,-9.26923076923077,0.0315610278372591,0.016918699,0.263168
1648,-9.265384615384615,0.0314372591006424,0.016984917,0.26471
1649,-9.26153846153846,0.0316847965738758,0.017018026,0.263168
1650,-9.257692307692308,0.0314372591006424,0.016918699,0.265224
1651,-9.253846153846155,0.03131349036402569,0.016951808,0.262654
1652,-9.25,0.0314372591006424,0.017018026,0.264196
1653,-9.246153846153845,0.031746680942184156,0.016984917,0.264196
1654,-9.242307692307692,0.03149914346895075,0.016951808,0.264196
1655,-9.23846153846154,0.03149914346895075,0.016951808,0.264196
1656,-9.234615384615385,0.031746680942184156,0.017018026,0.263168
1657,-9.23076923076923,0.03131349036402569,0.016951808,0.263168
1658,-9.226923076923077,0.031375374732334045,0.016951808,0.263168
1659,-9.223076923076924,0.0314372591006424,0.017018026,0.26471
1660,-9.21923076923077,0.031746680942184156,0.016984917,0.262654
1661,-9.215384615384615,0.031808565310492504,0.016918699,0.264196
1662,-9.211538461538462,0.03149914346895075,0.016984917,0.263168
1663,-9.207692307692309,0.03187044967880086,0.016984917,0.265224
1664,-9.203846153846154,0.031746680942184156,0.016918699,0.262654
1665,-9.2,0.0316847965738758,0.016918699,0.264196
1666,-9.196153846153846,0.0314372591006424,0.016984917,0.263168
1667,-9.192307692307693,0.0315610278372591,0.016984917,0.264196
1668,-9.188461538461539,0.031808565310492504,0.016918699,0.264196
1669,-9.184615384615384,0.0315610278372591,0.016951808,0.263682
1670,-9.180769230769231,0.03162291220556745,0.016984917,0.263168
1671,-9.176923076923078,0.0316847965738758,0.016951808,0.263168
1672,-9.173076923076923,0.0316847965738758,0.016918699,0.26471
1673,-9.169230769230769,0.0316847965738758,0.016984917,0.262654
1674,-9.165384615384616,0.031375374732334045,0.017018026,0.265224
1675,-9.161538461538463,0.0315610278372591,0.016951808,0.262654
1676,-9.157692307692308,0.03162291220556745,0.016984917,0.26471
1677,-9.153846153846153,0.03131349036402569,0.017018026,0.262654
1678,-9.15,0.0314372591006424,0.016951808,0.265224
1679,-9.146153846153847,0.03162291220556745,0.016918699,0.262654
1680,-9.142307692307693,0.031808565310492504,0.016984917,0.26471
1681,-9.138461538461538,0.03162291220556745,0.017018026,0.263168
1682,-9.134615384615385,0.03149914346895075,0.016951808,0.26471
1683,-9.130769230769232,0.031932334047109205,0.016951808,0.262654
1684,-9.126923076923077,0.03199421841541756,0.016984917,0.263682
1685,-9.123076923076923,0.031746680942184156,0.017018026,0.264196
1686,-9.11923076923077,0.03118972162740899,0.016951808,0.263168
1687,-9.115384615384617,0.0315610278372591,0.016918699,0.26471
1688,-9.111538461538462,0.03187044967880086,0.016984917,0.263168
1689,-9.107692307692307,0.031251605995717344,0.016984917,0.26471
1690,-9.103846153846154,0.0316847965738758,0.016918699,0.263168
1691,-9.100000000000001,0.03162291220556745,0.016951808,0.26471
1692,-9.096153846153847,0.031746680942184156,0.016984917,0.262654
1693,-9.092307692307692,0.03162291220556745,0.016951808,0.26471
1694,-9.088461538461539,0.0316847965738758,0.016951808,0.263168
1695,-9.084615384615386,0.031746680942184156,0.016951808,0.264196
1696,-9.080769230769231,0.031375374732334045,0.016984917,0.262654
1697,-9.076923076923077,0.03131349036402569,0.016951808,0.263682
1698,-9.073076923076922,0.03149914346895075,0.016918699,0.26471
1699,-9.069230769230769,0.0316847965738758,0.016951808,0.262654
1700,-9.065384615384616,0.0316847965738758,0.016984917,0.26471
1701,-9.061538461538461,0.03131349036402569,0.016918699,0.262654
1702,-9.057692307692307,0.03162291220556745,0.016984917,0.264196
1703,-9.053846153846154,0.031808565310492504,0.016984917,0.263168
1704,-9.05,0.03162291220556745,0.016984917,0.265224
1705,-9.046153846153846,0.0314372591006424,0.016918699,0.262654
1706,-9.042307692307691,0.0316847965738758,0.016984917,0.265224
1707,-9.038461538461538,0.03187044967880086,0.016984917,0.263168
1708,-9.034615384615385,0.0315610278372591,0.016984917,0.265224
1709,-9.03076923076923,0.0316847965738758,0.016951808,0.263168
1710,-9.026923076923076,0.03199421841541756,0.016984917,0.26471
1711,-9.023076923076923,0.03199421841541756,0.017018026,0.264196
1712,-9.01923076923077,0.031808565310492504,0.016951808,0.263682
1713,-9.015384615384615,0.03149914346895075,0.016918699,0.264196
1714,-9.01153846153846,0.03162291220556745,0.017018026,0.263682
1715,-9.007692307692308,0.0315610278372591,0.016984917,0.264196
1716,-9.003846153846155,0.03131349036402569,0.016951808,0.263168
1717,-9.0,0.03131349036402569,0.016918699,0.264196
1718,-8.996153846153845,0.03162291220556745,0.016984917,0.262654
1719,-8.992307692307692,0.031746680942184156,0.016951808,0.26471
1720,-8.98846153846154,0.0315610278372591,0.016918699,0.263168
1721,-8.984615384615385,0.0315610278372591,0.016984917,0.264196
1722,-8.98076923076923,0.031808565310492504,0.016951808,0.262654
1723,-8.976923076923077,0.031746680942184156,0.016951808,0.263682
1724,-8.973076923076924,0.03149914346895075,0.016918699,0.264196
1725,-8.96923076923077,0.03149914346895075,0.016984917,0.263168
1726,-8.965384615384615,0.0316847965738758,0.016984917,0.265224
1727,-8.961538461538462,0.03162291220556745,0.016951808,0.262654
1728,-8.957692307692309,0.0314372591006424,0.017018026,0.26471
1729,-8.953846153846154,0.03162291220556745,0.017018026,0.26214000000000004
1730,-8.95,0.031746680942184156,0.016951808,0.26471
1731,-8.946153846153846,0.0316847965738758,0.016951808,0.263168
1732,-8.942307692307693,0.031375374732334045,0.016984917,0.26471
1733,-8.938461538461539,0.0314372591006424,0.017018026,0.263682
1734,-8.934615384615384,0.0316847965738758,0.016951808,0.263682
1735,-8.930769230769231,0.0314372591006424,0.016984917,0.263168
1736,-8.926923076923078,0.031375374732334045,0.016984917,0.263168
1737,-8.923076923076923,0.0315610278372591,0.017018026,0.26471
1738,-8.919230769230769,0.031808565310492504,0.016918699,0.262654
1739,-8.915384615384616,0.0315610278372591,0.016918699,0.26471
1740,-8.911538461538463,0.031375374732334045,0.016984917,0.262654
1741,-8.907692307692308,0.0316847965738758,0.016951808,0.265224
1742,-8.903846153846153,0.0316847965738758,0.016918699,0.262654
1743,-8.9,0.0315610278372591,0.016984917,0.264196
1744,-8.896153846153847,0.03131349036402569,0.017018026,0.263682
1745,-8.892307692307693,0.03149914346895075,0.016951808,0.264196
