eventnum,SCI0Time32_seconds,utc_datetime
imap_idex_l0_raw_20251217_v001/193,503520502,2025-12-15T18:48:22.674679Z
imap_idex_l0_raw_20251217_v001/194,503523061,2025-12-15T19:31:01.722736Z
imap_idex_l0_raw_20251217_v001/195,503524618,2025-12-15T19:56:58.881798Z
imap_idex_l0_raw_20251217_v001/196,503533079,2025-12-15T22:17:59.104276Z
imap_idex_l0_raw_20251217_v001/197,503536551,2025-12-15T23:15:51.652484Z
imap_idex_l0_raw_20251217_v001/198,503543078,2025-12-16T01:04:38.580842Z
imap_idex_l0_raw_20251217_v001/199,503543220,2025-12-16T01:07:00.510419Z
imap_idex_l0_raw_20251217_v001/2,503625727,2025-12-17T00:02:07.898963Z
imap_idex_l0_raw_20251217_v001/20,502991800,2025-12-09T15:56:40.154103Z
imap_idex_l0_raw_20251217_v001/200,503558625,2025-12-16T05:23:45.195145Z
imap_idex_l0_raw_20251217_v001/201,503564611,2025-12-16T07:03:31.163174Z
imap_idex_l0_raw_20251217_v001/202,503569842,2025-12-16T08:30:42.766083Z
imap_idex_l0_raw_20251217_v001/203,503573578,2025-12-16T09:32:58.122116Z
imap_idex_l0_raw_20251217_v001/204,503576317,2025-12-16T10:18:37.770641Z
imap_idex_l0_raw_20251217_v001/205,503583314,2025-12-16T12:15:14.187013Z
imap_idex_l0_raw_20251217_v001/206,503588386,2025-12-16T13:39:46.987245Z
imap_idex_l0_raw_20251217_v001/207,503591981,2025-12-16T14:39:41.451191Z
imap_idex_l0_raw_20251217_v001/208,503595251,2025-12-16T15:34:11.129251Z
imap_idex_l0_raw_20251217_v001/209,503595605,2025-12-16T15:40:05.602130Z
imap_idex_l0_raw_20251217_v001/21,502992063,2025-12-09T16:01:03.819609Z
imap_idex_l0_raw_20251217_v001/210,503595812,2025-12-16T15:43:32.691999Z
imap_idex_l0_raw_20251217_v001/211,503614316,2025-12-16T20:51:56.799690Z
imap_idex_l0_raw_20251217_v001/212,503619619,2025-12-16T22:20:19.986765Z
imap_idex_l0_raw_20251217_v001/22,502994095,2025-12-09T16:34:55.320526Z
imap_idex_l0_raw_20251217_v001/23,502994878,2025-12-09T16:47:58.120149Z
imap_idex_l0_raw_20251217_v001/24,502996228,2025-12-09T17:10:28.277221Z
