eventnum,SCI0Time32
imap_idex_l0_raw_20251218_v003.h5/44,502829375
imap_idex_l0_raw_20251218_v003.h5/45,502829694
imap_idex_l0_raw_20251218_v003.h5/46,502829778
imap_idex_l0_raw_20251218_v003.h5/47,502830395
imap_idex_l0_raw_20251218_v003.h5/48,502833514
imap_idex_l0_raw_20251218_v003.h5/49,502834185
imap_idex_l0_raw_20251218_v003.h5/5,502770928
imap_idex_l0_raw_20251218_v003.h5/50,502835493
imap_idex_l0_raw_20251218_v003.h5/51,502835566
imap_idex_l0_raw_20251218_v003.h5/52,502835719
imap_idex_l0_raw_20251218_v003.h5/53,502837209
imap_idex_l0_raw_20251218_v003.h5/54,502838022
imap_idex_l0_raw_20251218_v003.h5/55,502841406
imap_idex_l0_raw_20251218_v003.h5/56,502841948
imap_idex_l0_raw_20251218_v003.h5/57,502842614
imap_idex_l0_raw_20251218_v003.h5/58,502843450
imap_idex_l0_raw_20251218_v003.h5/59,502845237
imap_idex_l0_raw_20251218_v003.h5/6,502772277
imap_idex_l0_raw_20251218_v003.h5/60,502848437
imap_idex_l0_raw_20251218_v003.h5/61,502849262
imap_idex_l0_raw_20251218_v003.h5/62,502850592
imap_idex_l0_raw_20251218_v003.h5/63,502851226
imap_idex_l0_raw_20251218_v003.h5/64,502852417
imap_idex_l0_raw_20251218_v003.h5/65,502854840
imap_idex_l0_raw_20251218_v003.h5/66,502855162
imap_idex_l0_raw_20251218_v003.h5/67,502855343
imap_idex_l0_raw_20251218_v003.h5/68,502857912
imap_idex_l0_raw_20251218_v003.h5/69,502858248
imap_idex_l0_raw_20251218_v003.h5/7,502773632
imap_idex_l0_raw_20251218_v003.h5/70,502863445
imap_idex_l0_raw_20251218_v003.h5/71,502863773
imap_idex_l0_raw_20251218_v003.h5/72,502863785
imap_idex_l0_raw_20251218_v003.h5/73,502865495
imap_idex_l0_raw_20251218_v003.h5/74,502865621
imap_idex_l0_raw_20251218_v003.h5/75,502866305
imap_idex_l0_raw_20251218_v003.h5/76,502866424
imap_idex_l0_raw_20251218_v003.h5/77,502868980
imap_idex_l0_raw_20251218_v003.h5/78,502872611
imap_idex_l0_raw_20251218_v003.h5/79,502872734
