Dust Event ID,UTC Timestamp,Local Timestamp,Integer Timestamp (ms),Velocity (m/s),Mass (kg),Charge (C),Radius (m) ,High Voltage (MV),Current Group ID,Current Experiment Name,Current Experiment Description,Estimate Quality,Dust Type
8349464,20230725164559.976999999,20230725104559.976999999,1690303559977,1.769870E+4,2.543740E-18,1.811330E-16,4.256601E-8,2.199524E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",4," Iron "
8349466,20230725164836.515000000,20230725104836.515000000,1690303716515,1.884890E+4,2.966220E-18,2.398300E-16,4.480293E-8,2.197063E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",3," Iron "
8349467,20230725164844.541999999,20230725104844.541999999,1690303724542,2.506360E+4,1.898717E-18,2.712890E-16,3.861228E-8,2.198294E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",4," Iron "
8349468,20230725164846.024999999,20230725104846.024999999,1690303726025,2.369160E+4,1.755665E-18,2.241380E-16,3.761715E-8,2.198294E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",5," Iron "
8349470,20230725164916.375000000,20230725104916.375000000,1690303756375,2.322140E+4,1.798026E-18,2.205250E-16,3.791729E-8,2.198294E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",5," Iron "
8349471,20230725164917.782000000,20230725104917.782000000,1690303757782,3.143960E+4,8.340594E-19,1.875150E-16,2.935200E-8,2.198294E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",4," Iron "
8349474,20230725165014.893999999,20230725105014.893999999,1690303814894,2.424750E+4,2.174491E-18,2.907880E-16,4.039781E-8,2.198294E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",3," Iron "
8349475,20230725165036.097000000,20230725105036.097000000,1690303836097,2.042580E+4,1.494322E-18,1.418830E-16,3.564949E-8,2.197063E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",4," Iron "
8349478,20230725165128.134000000,20230725105128.134000000,1690303888134,2.146200E+4,3.338623E-18,3.499740E-16,4.660449E-8,2.197063E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",5," Iron "
8349482,20230725165304.757999999,20230725105304.757999999,1690303984758,1.849180E+4,2.331603E-18,1.815450E-16,4.134822E-8,2.195833E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",3," Iron "
8349485,20230725165334.402000000,20230725105334.402000000,1690304014402,2.425040E+4,4.844514E-18,6.487230E-16,5.276210E-8,2.195833E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",5," Iron "
8349489,20230725165412.987999999,20230725105412.987999999,1690304052988,2.000860E+4,2.114145E-18,1.925100E-16,4.002060E-8,2.198294E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",3," Iron "
8349490,20230725165445.742000000,20230725105445.742000000,1690304085742,1.748560E+4,2.492759E-18,1.733510E-16,4.227972E-8,2.198294E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",4," Iron "
8349491,20230725165446.510000000,20230725105446.510000000,1690304086510,2.724480E+4,3.066708E-18,5.174660E-16,4.530326E-8,2.199524E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",5," Iron "
8349494,20230725174017.611000000,20230725114017.611000000,1690306817611,2.564970E+4,2.342693E-18,3.503660E-16,4.141367E-8,2.199524E+0," IDEX "," 2023_07_25_Iron_run1 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 2000 V. ",5," Iron "
8349498,20230725174108.782000000,20230725114108.782000000,1690306868782,1.866020E+4,3.882251E-18,3.072970E-16,4.900795E-8,2.199524E+0," IDEX "," 2023_07_25_Iron_run1 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 2000 V. ",5," Iron "
8349499,20230725174113.146999999,20230725114113.146999999,1690306873147,2.136550E+4,2.344021E-18,2.432370E-16,4.142150E-8,2.199524E+0," IDEX "," 2023_07_25_Iron_run1 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 2000 V. ",5," Iron "
8349500,20230725174130.762000000,20230725114130.762000000,1690306890762,1.885430E+4,2.997656E-18,2.421040E-16,4.496065E-8,2.200754E+0," IDEX "," 2023_07_25_Iron_run1 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 2000 V. ",5," Iron "
8349502,20230725174148.992000000,20230725114148.992000000,1690306908992,2.286130E+4,1.440616E-18,1.711560E-16,3.521719E-8,2.199524E+0," IDEX "," 2023_07_25_Iron_run1 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 2000 V. ",5," Iron "
8349504,20230725174225.756999999,20230725114225.756999999,1690306945757,2.163390E+4,2.282254E-18,2.429510E-16,4.105443E-8,2.198294E+0," IDEX "," 2023_07_25_Iron_run1 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 2000 V. ",5," Iron "
8349506,20230725174243.782000000,20230725114243.782000000,1690306963782,2.103380E+4,6.387074E-18,6.427210E-16,5.785479E-8,2.198294E+0," IDEX "," 2023_07_25_Iron_run1 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 2000 V. ",5," Iron "
8349507,20230725174244.356999999,20230725114244.356999999,1690306964357,1.267780E+4,1.737661E-18,6.352400E-17,3.748812E-8,2.198294E+0," IDEX "," 2023_07_25_Iron_run1 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 2000 V. ",3," Iron "
8349508,20230725174250.549000000,20230725114250.549000000,1690306970549,1.952900E+4,5.040457E-18,4.372350E-16,5.346406E-8,2.198294E+0," IDEX "," 2023_07_25_Iron_run1 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 2000 V. ",5," Iron "
8349510,20230725174302.091000000,20230725114302.091000000,1690306982091,5.314020E+4,6.987136E-19,4.487770E-16,2.766974E-8,2.198294E+0," IDEX "," 2023_07_25_Iron_run1 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 2000 V. ",5," Iron "
8349512,20230725174317.731000000,20230725114317.731000000,1690306997731,1.915380E+4,8.194348E-18,6.837690E-16,6.286518E-8,2.198294E+0," IDEX "," 2023_07_25_Iron_run1 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 2000 V. ",5," Iron "
8349513,20230725174354.000000000,20230725114354.000000000,1690307034000,3.077340E+4,2.253570E-18,4.856800E-16,4.088171E-8,2.197063E+0," IDEX "," 2023_07_25_Iron_run1 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 2000 V. ",5," Iron "
8349515,20230725174450.686999999,20230725114450.686999999,1690307090687,2.594420E+4,1.765102E-18,2.700800E-16,3.768443E-8,2.199524E+0," IDEX "," 2023_07_25_Iron_run1 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 2000 V. ",5," Iron "
8349516,20230725174455.759000000,20230725114455.759000000,1690307095759,1.810830E+4,4.517302E-18,3.367260E-16,5.154640E-8,2.199524E+0," IDEX "," 2023_07_25_Iron_run1 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 2000 V. ",5," Iron "
8349517,20230725174456.746000000,20230725114456.746000000,1690307096746,2.538220E+4,2.185528E-18,3.202580E-16,4.046605E-8,2.198294E+0," IDEX "," 2023_07_25_Iron_run1 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 2000 V. ",5," Iron "
8349518,20230725174459.489000000,20230725114459.489000000,1690307099489,2.078220E+4,2.080299E-18,2.043590E-16,3.980588E-8,2.198294E+0," IDEX "," 2023_07_25_Iron_run1 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 2000 V. ",4," Iron "
8349519,20230725174514.979000000,20230725114514.979000000,1690307114979,1.883130E+4,6.332653E-18,5.107770E-16,5.769000E-8,2.198294E+0," IDEX "," 2023_07_25_Iron_run1 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 2000 V. ",5," Iron "
8349520,20230725174530.265999999,20230725114530.265999999,1690307130266,1.912640E+4,2.532552E-18,2.107220E-16,4.250351E-8,2.198294E+0," IDEX "," 2023_07_25_Iron_run1 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 2000 V. ",5," Iron "
8349521,20230725174533.006999999,20230725114533.006999999,1690307133007,1.933840E+4,2.787423E-18,2.369660E-16,4.388401E-8,2.199524E+0," IDEX "," 2023_07_25_Iron_run1 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 2000 V. ",5," Iron "
