time,Det_Voltage,TOFHGMAX,TOFHGMIN,TOFLGMAX,TOFLGMIN,TOFMGMAX,TOFMGMIN,Target_High_Gain_Max,Target_High_Gain_Min,Target_Low_Gain_Max,Target_Low_Gain_Min
2025-357T02:56:43.838,2001.4632,,,,,,,,,,
2025-357T02:56:46.838,,544.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-357T02:56:49.838,2001.4632,,,,,,,,,,
2025-357T02:56:55.838,,529.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
2025-357T02:56:56.838,2001.4632,,,,,,,,,,
2025-357T02:57:01.838,2001.4632,,,,,,,,,,
2025-357T02:57:04.838,,537.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:57:07.838,2001.4632,,,,,,,,,,
2025-357T02:57:13.838,,529.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:57:14.838,2001.4632,,,,,,,,,,
2025-357T02:57:19.838,2001.4632,,,,,,,,,,
2025-357T02:57:22.838,,528.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:57:25.838,2001.4632,,,,,,,,,,
2025-357T02:57:31.838,,528.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:57:32.838,2001.4632,,,,,,,,,,
2025-357T02:57:37.838,2001.4632,,,,,,,,,,
2025-357T02:57:40.838,,523.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:57:43.838,2001.4632,,,,,,,,,,
2025-357T02:57:49.838,,547.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:57:50.838,2001.4632,,,,,,,,,,
2025-357T02:57:55.838,2001.4632,,,,,,,,,,
2025-357T02:57:58.838,,550.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:58:01.837,2001.4632,,,,,,,,,,
2025-357T02:58:07.838,,534.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:58:08.837,2001.4632,,,,,,,,,,
2025-357T02:58:13.837,2001.4632,,,,,,,,,,
2025-357T02:58:16.838,,531.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-357T02:58:19.837,2001.4632,,,,,,,,,,
